,The Night Circus (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,,,,,,,,,,,,,,,,,,
Plot,8,9,8,8,8,,8,,,,,,,,,,,,,,,,,,
Quality of writing,9,9,8,9,8,,8,,,,,,,,,,,,,,,,,,
Character development,8,9,8,9,9,,8,,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,9,10,8,9,9,,8,,,,,,,,,,,,,,,,,,
Total,8.5,9.25,8,8.75,8.5,0,8,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Wonderful Story of Henry Sugar and Six More (Gareth),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,,,,,,,,,,,,,,,,,
Plot,7,6,,7,7,7,7,7,,,,,,,,,,,,,,,,,
Quality of writing,8.5,8,,9,8,8,9,8,,,,,,,,,,,,,,,,,
Character development,8,5,,8,7,8,7,8,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,7.5,7,,7,8,8,8,7,,,,,,,,,,,,,,,,,
Total,7.75,6.5,0,7.75,7.5,7.75,7.75,7.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Crying in H Mart (Jen),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,,,,,,,,,,,,,,,,,
Plot,8,8,9,9,8,10,9,,,,,,,,,,,,,,,,,,
Quality of writing,9,9,8,9,9,10,8,,,,,,,,,,,,,,,,,,
Character development,8,9,9,9,8,9,8,,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,8,9,8,9,9,9,9,,,,,,,,,,,,,,,,,,
Total,8.25,8.75,8.5,9,8.5,9.5,8.5,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,A Passage To India (Katherine),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,5,5,6,6,7,,,,5,,,,,,,,,,,,,,,,
Quality of writing,6.5,6,7,4,8,,,,8,,,,,,,,,,,,,,,,
Character development,5,7,7,4,8,,,,6,,,,,,,,,,,,,,,,
Overall experience / enjoyment,5,6.5,7,3,8,,,,7,,,,,,,,,,,,,,,,
Total,5.375,6.125,6.75,4.25,7.75,0,0,0,6.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Dice Man (Mike),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,8,2,,4,,,,,,,,,,,,,,,,,,,,,
Quality of writing,7,5,,6,,,,,,,,,,,,,,,,,,,,,
Character development,8,3,,4,,,,,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,6,1,,3,,,,,,,,,,,,,,,,,,,,,
Total,7.25,2.75,0,4.25,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Great Circle (Nia),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,9,9,8,9,8,8,9,,9,,,,,,,,,,,,,,,,
Quality of writing,10,10,9,9,9,8,9,,8,,,,,,,,,,,,,,,,
Character development,10,9,9,9,8,9,9,,8,,,,,,,,,,,,,,,,
